ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト,date_col,塗布材料
SC0011400,1000m,製造,YC-08,29.15,50.5,0.9,120.09,122.18,1020.2,739,0.01037,89.03,False,2025-03-17,A
SC0011401,1200m,製造,YC-08,27.78,50.4,0.9,120.0,122.01,1020.2,592,0.01047,89.02,True,2025-03-17,A
SC0011402,1200m,製造,YC-08,28.64,50.8,0.9,120.03,122.04,1020.1,1246,0.01111,89.03,False,2025-03-17,A
SC0011403,1000m,製造,YC-08,27.29,50.7,0.9,120.05,122.09,1020.3,1052,0.01188,89.05,False,2025-03-17,A
SC0011404,1000m,製造,YC-08,27.32,50.3,0.9,120.09,122.05,1020.3,497,0.01059,89.06,False,2025-03-17,A
SC0011405,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.03,1020.0,413,0.01029,89.04,False,2025-03-17,A
SC0011406,1200m,製造,YC-08,29.18,51.0,0.9,120.0,122.18,1020.4,1662,0.01198,89.06,False,2025-03-17,A
SC0011407,1200m,製造,YC-08,28.36,50.5,0.9,120.0,122.05,1020.2,1312,0.01091,89.04,False,2025-03-17,A
SC0011408,1200m,製造,YC-08,27.3,50.3,0.9,120.05,122.05,1020.2,413,0.01025,89.04,False,2025-03-17,A
SC0011409,1500m,製造,YC-08,28.04,50.4,0.9,120.0,122.04,1020.2,899,0.01098,89.07,False,2025-03-17,A
SC0011410,500m,製造,YC-08,34.33,51.5,0.9,120.49,122.33,1021.3,2426,0.01433,89.09,False,2025-03-17,A
SC0011411,1000m,製造,YC-08,27.08,50.2,0.9,120.0,122.18,1020.3,310,0.01008,89.09,False,2025-03-17,A
SC0011412,500m,試作品,YC-08,31.47,51.2,0.9,120.0,122.04,1020.1,1940,0.01212,89.08,True,2025-03-17,B
SC0011413,1200m,製造,YC-08,27.32,50.2,0.9,120.34,122.16,1020.7,240,0.01029,89.02,True,2025-03-17,A
SC0011414,1000m,製造,YC-08,28.54,50.7,0.9,120.0,122.05,1020.0,1177,0.01093,89.05,False,2025-03-17,A
SC0011415,1500m,製造,YC-08,28.01,50.2,0.9,120.0,122.09,1020.2,344,0.01045,89.04,False,2025-03-17,A
SC0011416,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.27,1020.4,552,0.01049,89.05,False,2025-03-17,A
SC0011417,1200m,製造,YC-08,27.41,50.2,0.9,120.09,122.01,1020.1,309,0.01015,89.03,False,2025-03-17,A
SC0011418,500m,製造,YC-08,27.36,50.2,0.9,120.06,122.0,1020.1,322,0.0103,89.05,False,2025-03-17,A
SC0011419,500m,製造,YC-08,28.54,50.5,0.9,120.0,122.03,1020.0,907,0.01087,89.04,True,2025-03-17,A
SC0011420,1200m,製造,YC-08,27.42,50.2,0.9,120.14,122.06,1020.6,316,0.01035,89.06,False,2025-03-17,A
SC0011421,1500m,製造,YC-08,29.18,51.0,0.9,120.0,122.08,1020.2,1662,0.01181,89.1,False,2025-03-17,A
SC0011422,1200m,製造,YC-08,29.18,51.0,0.9,120.09,122.07,1020.2,1662,0.01231,89.06,False,2025-03-17,A
SC0011423,1200m,製造,YC-08,29.18,51.0,0.9,120.09,122.04,1020.1,1662,0.01148,89.06,False,2025-03-17,A
SC0011424,300m,製造,YC-08,32.4,51.1,0.9,120.0,122.05,1020.3,1765,0.0135,89.07,False,2025-03-17,A
SC0011425,500m,製造,YC-08,27.67,50.3,0.9,120.14,122.01,1020.1,509,0.01025,89.01,False,2025-03-17,A
SC0011426,1500m,製造,YC-08,27.13,50.3,0.9,120.0,122.01,1020.1,413,0.01033,89.02,False,2025-03-17,A
SC0011427,1200m,製造,YC-08,27.76,50.4,0.9,120.0,122.02,1020.0,575,0.0104,89.02,False,2025-03-17,A
SC0011428,1000m,製造,YC-08,28.53,50.7,0.9,120.02,122.01,1020.1,1476,0.01173,89.1,False,2025-03-17,A
SC0011429,500m,製造,YC-08,28.06,50.4,0.9,120.09,122.14,1020.4,830,0.01058,89.04,False,2025-03-17,A
SC0011430,1200m,製造,YC-08,27.64,50.3,0.9,120.03,122.06,1020.1,483,0.01029,89.06,False,2025-03-17,A
SC0011431,500m,製造,YC-08,28.04,50.4,0.9,120.4,122.16,1020.9,455,0.01091,89.09,False,2025-03-17,A
SC0011432,300m,製造,YC-08,28.36,50.9,0.9,120.0,122.0,1020.0,1142,0.01193,89.05,False,2025-03-17,A
SC0011433,1200m,製造,YC-08,27.91,50.4,0.9,120.03,122.01,1020.1,691,0.0111,89.03,True,2025-03-17,A
SC0011434,1200m,製造,YC-08,29.27,51.1,0.9,120.0,122.03,1020.1,1732,0.0124,89.05,False,2025-03-17,A
SC0011435,1200m,製造,YC-08,30.18,51.5,0.9,120.0,122.05,1020.1,2426,0.01192,89.11,False,2025-03-17,A
SC0011436,1000m,製造,YC-08,30.24,50.9,0.9,120.14,122.07,1020.3,1454,0.01159,89.34,False,2025-03-17,A
