ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト
SC0000000,500m,製造,YC-08,27.36,50.2,0.9,120.0,122.0,1020.0,344,0.01017,89.03,False
SC0000001,500m,製造,YC-08,27.25,51.1,0.9,120.0,122.47,1021.3,2079,0.01247,89.07,False
SC0000002,1500m,試作品,YC-08,27.57,50.3,0.9,120.05,122.05,1020.2,431,0.01052,89.02,False
SC0000003,1000m,製造,YC-08,28.5,50.9,0.9,120.0,122.14,1020.3,1343,0.0116,89.05,False
SC0000004,1200m,製造,YC-08,28.66,50.8,0.9,120.29,122.29,1020.6,1263,0.01138,89.05,True
SC0000005,500m,製造,YC-08,27.68,50.3,0.9,120.06,122.05,1020.2,413,0.01054,89.09,False
SC0000006,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.05,1020.1,691,0.01062,89.05,False
SC0000007,1200m,製造,YC-08,27.9,50.8,0.9,120.0,122.11,1020.5,1329,0.01224,89.06,False
SC0000008,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.11,1020.6,760,0.0106,89.09,False
SC0000009,1200m,製造,YC-08,28.41,50.5,0.9,120.21,122.41,1021.3,1107,0.01121,89.08,False
SC0000010,1200m,製造,YC-08,27.06,50.2,0.9,120.0,122.05,1020.2,247,0.0103,89.04,False
SC0000011,1500m,製造,YC-08,27.41,50.2,0.9,120.0,122.03,1020.1,309,0.01043,89.04,False
SC0000012,1500m,試作品,YC-08,27.51,50.2,0.9,120.0,122.05,1020.0,386,0.01019,89.03,False
SC0000013,1500m,製造,YC-08,29.17,51.0,0.9,120.0,122.07,1020.2,1652,0.01098,89.05,False
SC0000014,1200m,製造,YC-08,28.12,50.5,0.9,120.0,122.1,1020.4,830,0.01091,89.03,False
SC0000015,1500m,製造,YC-08,28.91,50.9,0.9,121.49,122.37,1021.6,1454,0.01144,89.1,False
SC0000016,500m,製造,YC-08,28.31,50.6,0.9,120.14,122.06,1020.2,996,0.01188,89.07,False
SC0000017,1200m,試作品,YC-08,28.97,50.9,0.9,120.0,122.03,1020.1,1497,0.01178,89.05,False
SC0000018,1200m,試作品,YC-08,28.09,50.5,0.9,120.18,122.07,1020.3,830,0.01181,89.07,False
SC0000019,1000m,試作品,YC-08,27.91,50.4,0.9,120.03,122.03,1020.1,691,0.01076,89.07,False
SC0000020,300m,製造,YC-08,30.18,51.5,0.9,120.05,122.02,1020.2,2426,0.01264,89.14,False
SC0000021,300m,製造,YC-08,27.63,50.4,0.9,120.0,122.2,1020.2,413,0.01021,89.06,False
SC0000022,1200m,試作品,YC-08,27.28,50.1,0.9,120.0,122.01,1020.2,1173,0.01128,89.03,False
SC0000023,1200m,製造,YC-08,27.55,50.3,0.9,120.01,122.0,1020.0,413,0.01049,89.05,False
SC0000024,1200m,製造,YC-08,28.69,50.5,0.9,120.0,122.01,1020.0,830,0.01074,89.06,False
SC0000025,1200m,製造,YC-08,27.52,50.2,0.9,120.07,122.13,1020.1,396,0.01032,89.03,False
SC0000026,1000m,製造,YC-08,28.36,50.7,0.9,120.0,122.04,1020.2,1137,0.01124,89.05,False
SC0000027,100m,製造,YC-08,27.63,50.8,0.9,120.0,122.18,1021.1,1329,0.0133,89.07,False
SC0000028,1200m,製造,YC-08,28.49,50.5,0.9,120.01,122.01,1020.0,795,0.01055,89.03,False
SC0000029,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.07,1020.1,830,0.01058,89.03,True
SC0000030,1500m,製造,YC-08,28.16,50.5,0.9,120.0,122.04,1020.1,830,0.01181,89.13,False
SC0000031,1200m,製造,YC-08,28.9,50.6,0.9,120.15,122.15,1020.3,1038,0.01093,89.08,False
SC0000032,1500m,製造,YC-08,28.94,50.9,0.9,120.0,122.09,1020.2,1478,0.01117,89.09,False
SC0000033,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.01,1020.1,830,0.01115,89.03,False
SC0000034,1500m,製造,YC-08,29.54,51.2,0.9,120.0,122.09,1020.2,1940,0.01135,89.08,False
SC0000035,500m,試作品,YC-08,27.59,50.8,0.9,120.0,122.37,1021.0,1246,0.01124,89.04,False
SC0000036,1200m,製造,YC-08,28.64,50.8,0.9,120.0,122.26,1020.6,1246,0.01111,89.07,False
SC0000037,1200m,製造,YC-08,27.22,50.4,0.9,120.0,122.02,1020.0,691,0.0111,89.05,False
SC0000038,1500m,製造,YC-08,28.02,50.5,0.9,120.0,122.14,1020.7,830,0.01115,89.06,True
SC0000039,1200m,製造,YC-08,28.65,51.3,0.9,120.0,122.1,1021.9,2079,0.01247,89.09,False
SC0000040,1000m,製造,YC-08,27.09,50.0,0.9,120.14,122.03,1020.1,66,0.01005,89.03,True
SC0000041,1200m,製造,YC-08,27.95,50.4,0.9,120.37,122.11,1020.8,719,0.01121,89.05,False
SC0000042,1500m,製造,YC-08,27.36,50.2,0.9,120.05,122.01,1020.1,275,0.01022,89.09,False
SC0000043,500m,製造,YC-08,27.47,50.2,0.9,120.09,122.01,1020.1,358,0.01029,89.03,False
SC0000044,500m,製造,YC-08,27.76,50.3,0.9,120.0,122.0,1020.0,344,0.01007,89.04,False
SC0000045,1000m,製造,YC-08,27.97,50.4,0.9,120.14,122.02,1020.2,621,0.01056,89.03,True
SC0000046,500m,製造,YC-08,30.35,50.9,0.9,120.05,122.09,1020.2,1504,0.01283,89.05,False
SC0000047,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.02,1020.5,1385,0.01302,89.04,False
SC0000048,1500m,製造,YC-08,27.44,50.2,0.9,120.0,122.09,1020.1,330,0.0102,89.04,False
SC0000049,1500m,製造,YC-08,28.45,50.7,0.9,120.0,122.04,1020.3,1107,0.01176,89.11,False
SC0000050,1000m,製造,YC-08,28.82,50.9,0.9,120.0,122.02,1020.2,1385,0.01165,89.05,False
SC0000051,100m,研究所テスト,YC-08,27.81,50.9,0.9,120.14,122.16,1020.7,1454,0.0113,89.07,False
SC0000052,100m,研究所テスト,YC-08,28.54,50.7,0.9,120.0,122.01,1020.0,1177,0.01035,89.04,False
SC0000053,1500m,製造,YC-08,27.6,50.3,0.9,120.05,122.09,1020.1,455,0.01032,89.05,False
SC0000054,1200m,製造,YC-08,29.73,51.3,0.9,120.21,122.43,1020.6,2079,0.01206,89.07,False
SC0000055,1500m,製造,YC-08,28.82,50.4,0.9,120.02,122.01,1020.0,634,0.01032,89.02,True
SC0000056,1000m,試作品,YC-08,28.73,50.5,0.9,120.0,122.01,1020.0,819,0.01033,89.03,False
SC0000057,1000m,製造,YC-08,27.39,50.2,0.9,120.24,122.12,1020.5,327,0.01036,89.04,True
SC0000058,1000m,製造,YC-08,30.08,50.7,0.9,120.09,122.01,1020.2,1107,0.0111,89.04,False
SC0000059,1000m,製造,YC-08,27.44,50.9,0.9,120.55,123.11,1022.0,862,0.01096,89.11,False
SC0000060,500m,製造,YC-08,27.4,50.9,0.9,120.0,122.09,1020.2,1454,0.01087,89.09,False
SC0000061,1000m,製造,YC-08,28.56,50.7,0.9,120.07,122.07,1020.1,1189,0.01118,89.05,False
SC0000062,1000m,製造,YC-08,28.04,50.4,0.9,120.01,122.02,1020.0,413,0.01049,89.05,False
SC0000063,1200m,製造,YC-08,29.7,50.9,0.9,120.0,122.05,1021.0,1385,0.01261,89.13,False
SC0000064,1000m,製造,YC-08,28.45,50.9,0.9,120.09,122.07,1020.3,1454,0.01216,89.09,False
SC0000065,1200m,試作品,YC-08,27.72,50.3,0.9,120.0,122.07,1020.1,545,0.01049,89.04,False
SC0000066,1200m,製造,YC-08,27.17,50.3,0.9,120.0,122.01,1020.2,479,0.01062,89.03,False
SC0000067,1000m,製造,YC-08,28.64,50.8,0.9,120.0,122.05,1020.2,1246,0.01111,89.08,False
SC0000068,1500m,製造,YC-08,27.73,50.3,0.9,120.0,122.0,1020.0,552,0.01033,89.04,False
SC0000069,1200m,製造,YC-08,28.82,50.9,0.9,120.05,122.02,1020.3,1385,0.01096,89.11,False
SC0000070,1200m,製造,YC-08,27.95,50.4,0.9,120.0,122.01,1020.0,726,0.01014,89.02,False
SC0000071,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.07,1020.4,344,0.01082,89.04,False
SC0000072,1000m,製造,YC-08,27.04,50.7,0.9,120.03,122.02,1020.1,1024,0.01154,89.05,False
SC0000073,1200m,製造,YC-08,27.28,50.1,0.9,120.0,122.02,1020.1,1385,0.01096,89.08,False
SC0000074,500m,製造,YC-08,27.19,50.1,0.9,120.06,122.02,1020.2,205,0.01019,89.09,False
SC0000075,500m,製造,YC-08,30.19,51.2,0.906,120.02,122.04,1020.1,1513,0.0118,89.04,False
SC0000076,1200m,製造,YC-08,27.3,50.1,0.9,120.01,122.01,1020.0,226,0.01011,89.04,False
SC0000077,1000m,製造,YC-08,27.36,50.2,0.9,120.09,122.07,1020.2,275,0.01019,89.04,False
SC0000078,1200m,製造,YC-08,28.82,50.9,0.9,120.15,122.06,1020.4,1385,0.01096,89.05,False
SC0000079,500m,製造,YC-08,28.73,51.5,0.9,120.05,122.09,1020.2,2426,0.01361,89.23,False
SC0000080,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.09,1020.1,483,0.01048,89.03,False
SC0000081,1000m,製造,YC-08,27.91,50.4,0.9,120.05,122.05,1020.3,691,0.01124,89.04,False
SC0000082,1000m,製造,YC-08,27.58,51.5,0.9,120.12,122.09,1020.7,2426,0.01288,89.11,False
SC0000083,1000m,製造,YC-08,28.74,50.8,0.9,120.18,122.09,1020.1,1329,0.01026,89.04,True
SC0000084,1500m,製造,YC-08,28.82,50.9,0.9,120.0,122.04,1021.8,1385,0.01234,89.07,False
SC0000085,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.36,1020.4,785,0.01066,89.08,False
SC0000086,100m,研究所テスト,YC-08,30.18,51.5,0.9,120.46,122.03,1021.3,2426,0.01577,89.15,False
SC0000087,1200m,製造,YC-08,27.32,50.2,0.9,120.34,122.16,1020.7,240,0.01029,89.02,True
SC0000088,500m,製造,YC-08,27.83,50.9,0.9,120.3,122.09,1020.7,1494,0.01267,89.07,False
SC0000089,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.01,1020.1,1385,0.01124,89.11,False
SC0000090,300m,製造,YC-08,28.64,50.8,0.9,120.04,122.01,1020.0,1246,0.01136,89.16,False
SC0000091,1200m,試作品,YC-08,27.77,50.4,0.9,120.0,122.01,1020.0,587,0.01023,89.02,False
SC0000092,1200m,製造,YC-08,27.37,50.2,0.9,120.05,122.05,1020.1,283,0.01034,89.02,False
SC0000093,1200m,試作品,YC-08,28.41,50.3,0.9,120.0,122.04,1020.2,497,0.01064,89.04,False
SC0000094,300m,製造,YC-08,27.51,50.2,0.9,120.0,122.04,1020.1,386,0.01019,89.06,False
SC0000095,1200m,製造,YC-08,28.45,50.7,0.9,120.0,122.06,1020.2,880,0.01099,89.07,False
SC0000096,500m,試作品,YC-08,27.35,50.1,0.9,120.0,122.02,1020.0,587,0.01064,89.03,False
SC0000097,500m,試作品,YC-08,28.44,50.6,0.9,120.0,122.01,1020.1,573,0.0108,89.03,False
SC0000098,300m,製造,YC-08,29.0,50.9,0.9,120.0,122.04,1020.2,1524,0.01166,89.05,False
SC0000099,1000m,製造,YC-08,28.11,51.4,0.9,120.14,122.29,1020.7,1163,0.0115,89.07,False
SC0000100,1000m,製造,YC-08,27.11,50.1,0.9,120.05,122.02,1020.3,80,0.01011,89.05,False
SC0000101,500m,製造,YC-08,28.09,50.5,0.9,120.0,122.06,1020.1,830,0.01033,89.06,False
